2026-04-07 14:52:37 - INFO - Experiment Name: exp_01
2026-04-07 14:52:37 - INFO - Starting training pipeline...
2026-04-07 14:52:37 - INFO - Using device: cuda
2026-04-07 14:52:37 - INFO - Seed is set to 42
2026-04-07 14:52:37 - INFO - Loss: BCEWithLogitsLoss()
2026-04-07 14:52:37 - INFO - LR: 0.001
2026-04-07 15:08:18 - INFO - Epoch 41/500 | Train Loss: 0.0319 | Val Loss: 0.0052 | Precision: 1.0000 | Recall: 0.9971
2026-04-07 15:08:42 - INFO - Epoch 42/500 | Train Loss: 0.0111 | Val Loss: 0.0040 | Precision: 1.0000 | Recall: 0.9971
2026-04-07 15:09:05 - INFO - Epoch 43/500 | Train Loss: 0.0221 | Val Loss: 0.0076 | Precision: 1.0000 | Recall: 0.9942
2026-04-07 15:09:28 - INFO - Epoch 44/500 | Train Loss: 0.0103 | Val Loss: 0.0010 | Precision: 1.0000 | Recall: 1.0000
2026-04-07 15:09:50 - INFO - Epoch 45/500 | Train Loss: 0.0083 | Val Loss: 0.0002 | Precision: 1.0000 | Recall: 1.0000
2026-04-07 15:10:13 - INFO - Epoch 46/500 | Train Loss: 0.0121 | Val Loss: 0.0044 | Precision: 1.0000 | Recall: 1.0000
2026-04-07 15:10:36 - INFO - Epoch 47/500 | Train Loss: 0.0144 | Val Loss: 0.0006 | Precision: 1.0000 | Recall: 1.0000
2026-04-07 15:11:00 - INFO - Epoch 48/500 | Train Loss: 0.0110 | Val Loss: 0.0114 | Precision: 1.0000 | Recall: 0.9942
2026-04-07 15:11:23 - INFO - Epoch 49/500 | Train Loss: 0.0148 | Val Loss: 0.0058 | Precision: 1.0000 | Recall: 0.9971
2026-04-07 15:11:46 - INFO - Epoch 50/500 | Train Loss: 0.0086 | Val Loss: 0.0019 | Precision: 1.0000 | Recall: 0.9971
2026-04-07 15:12:09 - INFO - Epoch 51/500 | Train Loss: 0.0036 | Val Loss: 0.0288 | Precision: 1.0000 | Recall: 0.9942
2026-04-07 15:12:33 - INFO - Epoch 52/500 | Train Loss: 0.0163 | Val Loss: 0.0070 | Precision: 1.0000 | Recall: 1.0000
2026-04-07 15:12:57 - INFO - Epoch 53/500 | Train Loss: 0.0119 | Val Loss: 0.0099 | Precision: 1.0000 | Recall: 0.9942
2026-04-07 15:13:21 - INFO - Epoch 54/500 | Train Loss: 0.0103 | Val Loss: 0.0167 | Precision: 1.0000 | Recall: 0.9942
2026-04-07 15:13:44 - INFO - Epoch 55/500 | Train Loss: 0.0137 | Val Loss: 0.0287 | Precision: 1.0000 | Recall: 0.9913
2026-04-07 15:14:07 - INFO - Epoch 56/500 | Train Loss: 0.0107 | Val Loss: 0.0053 | Precision: 1.0000 | Recall: 0.9971
2026-04-07 15:14:30 - INFO - Epoch 57/500 | Train Loss: 0.0191 | Val Loss: 0.0099 | Precision: 1.0000 | Recall: 0.9971
2026-04-07 15:14:53 - INFO - Epoch 58/500 | Train Loss: 0.0112 | Val Loss: 0.0050 | Precision: 1.0000 | Recall: 0.9971
2026-04-07 15:15:15 - INFO - Epoch 59/500 | Train Loss: 0.0146 | Val Loss: 0.0105 | Precision: 1.0000 | Recall: 0.9942
