2026-04-15 11:20:45 - INFO - Experiment Name: exp_01
2026-04-15 11:20:45 - INFO - Starting training pipeline...
2026-04-15 11:20:46 - INFO - Using device: cuda
2026-04-15 11:20:46 - INFO - Seed is set to 42
2026-04-15 11:20:47 - INFO - Loss: BCEWithLogitsLoss()
2026-04-15 11:20:47 - INFO - LR: 0.001
2026-04-15 12:13:28 - INFO - Epoch 41/500 | Train Loss: 0.0511 | Val Loss: 0.0120 | Precision: 0.9972 | Recall: 0.9972
2026-04-15 12:14:35 - INFO - Epoch 42/500 | Train Loss: 0.0159 | Val Loss: 0.0083 | Precision: 0.9972 | Recall: 0.9972
2026-04-15 12:15:40 - INFO - Epoch 43/500 | Train Loss: 0.0237 | Val Loss: 0.0106 | Precision: 0.9972 | Recall: 0.9972
2026-04-15 12:16:47 - INFO - Epoch 44/500 | Train Loss: 0.0117 | Val Loss: 0.0004 | Precision: 1.0000 | Recall: 1.0000
2026-04-15 12:17:54 - INFO - Epoch 45/500 | Train Loss: 0.0200 | Val Loss: 0.0074 | Precision: 0.9972 | Recall: 0.9945
2026-04-15 12:19:02 - INFO - Epoch 46/500 | Train Loss: 0.0175 | Val Loss: 0.0015 | Precision: 1.0000 | Recall: 1.0000
2026-04-15 12:20:10 - INFO - Epoch 47/500 | Train Loss: 0.0150 | Val Loss: 0.0117 | Precision: 1.0000 | Recall: 0.9945
2026-04-15 12:21:18 - INFO - Epoch 48/500 | Train Loss: 0.0124 | Val Loss: 0.0038 | Precision: 0.9973 | Recall: 1.0000
2026-04-15 12:22:34 - INFO - Epoch 49/500 | Train Loss: 0.0067 | Val Loss: 0.0002 | Precision: 1.0000 | Recall: 1.0000
2026-04-15 12:23:50 - INFO - Epoch 50/500 | Train Loss: 0.0240 | Val Loss: 0.0056 | Precision: 1.0000 | Recall: 0.9972
2026-04-15 12:28:37 - INFO - Epoch 51/500 | Train Loss: 0.0173 | Val Loss: 0.0112 | Precision: 0.9972 | Recall: 0.9972
2026-04-15 12:38:01 - INFO - Epoch 52/500 | Train Loss: 0.0195 | Val Loss: 0.0072 | Precision: 0.9973 | Recall: 1.0000
2026-04-15 12:52:50 - INFO - Epoch 53/500 | Train Loss: 0.0285 | Val Loss: 0.0004 | Precision: 1.0000 | Recall: 1.0000
2026-04-15 13:19:24 - INFO - Epoch 54/500 | Train Loss: 0.0127 | Val Loss: 0.0002 | Precision: 1.0000 | Recall: 1.0000
